episode_id,title,subject
S01E01,A WALK IN THE WOODS,BUSHES
S01E01,A WALK IN THE WOODS,DECIDUOUS
S01E01,A WALK IN THE WOODS,GRASS
S01E01,A WALK IN THE WOODS,RIVER
S01E01,A WALK IN THE WOODS,TREE
S01E01,A WALK IN THE WOODS,TREES
S01E02,MT. MCKINLEY,CABIN
S01E02,MT. MCKINLEY,CLOUDS
S01E02,MT. MCKINLEY,CONIFER
S01E02,MT. MCKINLEY,MOUNTAIN
S01E02,MT. MCKINLEY,SNOW
S01E02,MT. MCKINLEY,SNOWY_MOUNTAIN
S01E02,MT. MCKINLEY,TREE
S01E02,MT. MCKINLEY,TREES
S01E02,MT. MCKINLEY,WINTER
S01E03,EBONY SUNSET,CABIN
S01E03,EBONY SUNSET,CONIFER
S01E03,EBONY SUNSET,FENCE
S01E03,EBONY SUNSET,MOUNTAIN
S01E03,EBONY SUNSET,MOUNTAINS
S01E03,EBONY SUNSET,STRUCTURE
S01E03,EBONY SUNSET,SUN
S01E03,EBONY SUNSET,TREE
S01E03,EBONY SUNSET,TREES
S01E03,EBONY SUNSET,WINTER
S01E04,WINTER MIST,BUSHES
S01E04,WINTER MIST,CLOUDS
S01E04,WINTER MIST,CONIFER
S01E04,WINTER MIST,LAKE
S01E04,WINTER MIST,MOUNTAIN
S01E04,WINTER MIST,SNOWY_MOUNTAIN
S01E04,WINTER MIST,TREE
S01E04,WINTER MIST,TREES
S01E05,QUIET STREAM,DECIDUOUS
S01E05,QUIET STREAM,RIVER
S01E05,QUIET STREAM,ROCKS
S01E05,QUIET STREAM,TREE
S01E05,QUIET STREAM,TREES
S01E06,WINTER MOON,CABIN
S01E06,WINTER MOON,CONIFER
S01E06,WINTER MOON,LAKE
S01E06,WINTER MOON,MOON
S01E06,WINTER MOON,MOUNTAIN
S01E06,WINTER MOON,MOUNTAINS
S01E06,WINTER MOON,NIGHT
S01E06,WINTER MOON,SNOW
S01E06,WINTER MOON,SNOWY_MOUNTAIN
S01E06,WINTER MOON,STRUCTURE
S01E06,WINTER MOON,TREE
S01E06,WINTER MOON,TREES
S01E06,WINTER MOON,WINTER
S01E07,AUTUMN MOUNTAINS,DECIDUOUS
S01E07,AUTUMN MOUNTAINS,LAKE
S01E07,AUTUMN MOUNTAINS,MOUNTAIN
S01E07,AUTUMN MOUNTAINS,MOUNTAINS
S01E07,AUTUMN MOUNTAINS,SNOWY_MOUNTAIN
S01E07,AUTUMN MOUNTAINS,TREE
S01E07,AUTUMN MOUNTAINS,TREES
S01E08,PEACEFUL VALLEY,BUSHES
S01E08,PEACEFUL VALLEY,CONIFER
S01E08,PEACEFUL VALLEY,LAKE
S01E08,PEACEFUL VALLEY,MOUNTAIN
S01E08,PEACEFUL VALLEY,MOUNTAINS
S01E08,PEACEFUL VALLEY,TREE
S01E08,PEACEFUL VALLEY,TREES
S01E09,SEASCAPE,BEACH
S01E09,SEASCAPE,CLOUDS
S01E09,SEASCAPE,FENCE
S01E09,SEASCAPE,OCEAN
S01E10,MOUNTAIN LAKE,BUSHES
S01E10,MOUNTAIN LAKE,CONIFER
S01E10,MOUNTAIN LAKE,DECIDUOUS
S01E10,MOUNTAIN LAKE,LAKE
S01E10,MOUNTAIN LAKE,MOUNTAIN
S01E10,MOUNTAIN LAKE,TREE
S01E10,MOUNTAIN LAKE,TREES
S01E11,WINTER GLOW,DECIDUOUS
S01E11,WINTER GLOW,LAKE
S01E11,WINTER GLOW,TREE
S01E11,WINTER GLOW,TREES
S01E12,SNOWFALL,CIRRUS
S01E12,SNOWFALL,CLOUDS
S01E12,SNOWFALL,CONIFER
S01E12,SNOWFALL,LAKE
S01E12,SNOWFALL,MOUNTAIN
S01E12,SNOWFALL,MOUNTAINS
S01E12,SNOWFALL,SNOWY_MOUNTAIN
S01E12,SNOWFALL,TREE
S01E12,SNOWFALL,TREES
S01E13,FINAL REFLECTIONS,BUSHES
S01E13,FINAL REFLECTIONS,CONIFER
S01E13,FINAL REFLECTIONS,DECIDUOUS
S01E13,FINAL REFLECTIONS,GRASS
S01E13,FINAL REFLECTIONS,MOUNTAIN
S01E13,FINAL REFLECTIONS,SNOWY_MOUNTAIN
S01E13,FINAL REFLECTIONS,TREE
S01E13,FINAL REFLECTIONS,TREES
S02E01,MEADOW LAKE,BUSHES
S02E01,MEADOW LAKE,CONIFER
S02E01,MEADOW LAKE,CUMULUS
S02E01,MEADOW LAKE,DECIDUOUS
S02E01,MEADOW LAKE,GRASS
S02E01,MEADOW LAKE,LAKE
S02E01,MEADOW LAKE,MOUNTAIN
S02E01,MEADOW LAKE,SNOWY_MOUNTAIN
S02E01,MEADOW LAKE,TREE
S02E01,MEADOW LAKE,TREES
S02E02,WINTER SUN,CONIFER
S02E02,WINTER SUN,LAKE
S02E02,WINTER SUN,SNOW
S02E02,WINTER SUN,SUN
S02E02,WINTER SUN,TREE
S02E02,WINTER SUN,TREES
S02E03,EBONY SEA,CLOUDS
S02E03,EBONY SEA,CUMULUS
S02E03,EBONY SEA,DECIDUOUS
S02E03,EBONY SEA,OCEAN
S02E03,EBONY SEA,SUN
S02E03,EBONY SEA,TREE
S02E03,EBONY SEA,TREES
S02E03,EBONY SEA,WAVES
S02E04,SHADES OF GREY,BUSHES
S02E04,SHADES OF GREY,CABIN
S02E04,SHADES OF GREY,CLOUDS
S02E04,SHADES OF GREY,CONIFER
S02E04,SHADES OF GREY,CUMULUS
S02E04,SHADES OF GREY,DECIDUOUS
S02E04,SHADES OF GREY,LAKE
S02E04,SHADES OF GREY,MOUNTAIN
S02E04,SHADES OF GREY,MOUNTAINS
S02E04,SHADES OF GREY,SNOW
S02E04,SHADES OF GREY,SNOWY_MOUNTAIN
S02E04,SHADES OF GREY,STRUCTURE
S02E04,SHADES OF GREY,TREE
S02E04,SHADES OF GREY,TREES
S02E05,AUTUMN SPLENDOR,BUSHES
S02E05,AUTUMN SPLENDOR,DECIDUOUS
S02E05,AUTUMN SPLENDOR,GRASS
S02E05,AUTUMN SPLENDOR,LAKE
S02E05,AUTUMN SPLENDOR,TREE
S02E05,AUTUMN SPLENDOR,TREES
S02E06,BLACK RIVER,BUSHES
S02E06,BLACK RIVER,CLOUDS
S02E06,BLACK RIVER,CUMULUS
S02E06,BLACK RIVER,DECIDUOUS
S02E06,BLACK RIVER,GRASS
S02E06,BLACK RIVER,RIVER
S02E06,BLACK RIVER,TREE
S02E06,BLACK RIVER,TREES
S02E07,BROWN MOUNTAIN,CLOUDS
S02E07,BROWN MOUNTAIN,CONIFER
S02E07,BROWN MOUNTAIN,CUMULUS
S02E07,BROWN MOUNTAIN,GRASS
S02E07,BROWN MOUNTAIN,LAKE
S02E07,BROWN MOUNTAIN,MOUNTAIN
S02E07,BROWN MOUNTAIN,MOUNTAINS
S02E07,BROWN MOUNTAIN,TREE
S02E07,BROWN MOUNTAIN,TREES
S02E08,REFLECTIONS,BUSHES
S02E08,REFLECTIONS,CIRRUS
S02E08,REFLECTIONS,CLOUDS
S02E08,REFLECTIONS,CONIFER
S02E08,REFLECTIONS,LAKE
S02E08,REFLECTIONS,MOUNTAIN
S02E08,REFLECTIONS,SNOWY_MOUNTAIN
S02E08,REFLECTIONS,TREE
S02E08,REFLECTIONS,TREES
S02E09,BLACK & WHITE SEASCAPE,CIRRUS
S02E09,BLACK & WHITE SEASCAPE,CUMULUS
S02E09,BLACK & WHITE SEASCAPE,DECIDUOUS
S02E09,BLACK & WHITE SEASCAPE,OCEAN
S02E09,BLACK & WHITE SEASCAPE,ROCKS
S02E09,BLACK & WHITE SEASCAPE,SUN
S02E09,BLACK & WHITE SEASCAPE,TREE
S02E09,BLACK & WHITE SEASCAPE,TREES
S02E09,BLACK & WHITE SEASCAPE,WAVES
S02E10,LAZY RIVER,DECIDUOUS
S02E10,LAZY RIVER,GRASS
S02E10,LAZY RIVER,RIVER
S02E10,LAZY RIVER,TREE
S02E10,LAZY RIVER,TREES
S02E11,BLACK WATERFALL,BUSHES
S02E11,BLACK WATERFALL,CLOUDS
S02E11,BLACK WATERFALL,CONIFER
S02E11,BLACK WATERFALL,CUMULUS
S02E11,BLACK WATERFALL,DECIDUOUS
S02E11,BLACK WATERFALL,GRASS
